Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
focalnet_tiny_srf.ms_in1k,91.68,91.602,91.758,91.68
ghostnet_100.in1k,86.758,86.797,86.875,86.81
ghostnetv2_100.in1k,85.195,83.945,84.531,84.557
ghostnetv2_130.in1k,85.039,85.859,86.172,85.69
hardcorenas_b.miil_green_in1k,77.578,76.602,75.469,76.55
hardcorenas_f.miil_green_in1k,75.234,74.922,76.641,75.599
hgnet_small.ssld_in1k,89.766,89.258,89.648,89.557
hgnetv2_b0.ssld_stage1_in22k_in1k,87.031,86.562,87.227,86.94
hrnet_w18.ms_aug_in1k,89.258,89.375,90.273,89.635
hrnet_w18.ms_in1k,89.141,88.867,88.906,88.971
hrnet_w18_small.ms_in1k,88.047,88.281,88.594,88.307
hrnet_w18_small_v2.ms_in1k,88.555,88.32,88.242,88.372
hrnet_w30.ms_in1k,89.219,88.945,89.453,89.206
hrnet_w32.ms_in1k,89.805,89.453,89.297,89.518
hrnet_w40.ms_in1k,89.453,89.727,90.469,89.883
hrnet_w44.ms_in1k,90.234,89.688,89.57,89.831
hrnet_w48.ms_in1k,90.508,90.273,90.547,90.443
inception_v3.tf_in1k,87.773,86.562,87.188,87.174
inception_v3.tv_in1k,86.758,87.695,87.266,87.24
lcnet_100.ra2_in1k,74.609,73.359,73.906,73.958
legacy_seresnet18.in1k,88.672,87.695,88.242,88.203
legacy_seresnet34.in1k,88.672,88.789,88.359,88.607
levit_128.fb_dist_in1k,84.219,85.391,84.961,84.857
levit_128s.fb_dist_in1k,83.281,80.43,82.812,82.174
levit_192.fb_dist_in1k,84.297,84.297,84.414,84.336
levit_256.fb_dist_in1k,84.766,84.492,82.188,83.815
levit_384.fb_dist_in1k,88.555,88.125,87.93,88.203
maxvit_base_tf_224.in1k,92.695,92.539,93.047,92.76
maxvit_base_tf_384.in21k_ft_in1k,92.539,93.438,92.305,92.761
maxvit_large_tf_224.in1k,93.359,93.359,93.047,93.255
maxvit_large_tf_384.in1k,94.258,94.141,94.375,94.258
maxvit_large_tf_384.in21k_ft_in1k,91.914,92.734,92.93,92.526
maxvit_large_tf_512.in21k_ft_in1k,93.359,93.008,92.969,93.112
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,91.133,90.508,89.453,90.365
maxvit_rmlp_small_rw_224.sw_in1k,89.844,89.805,90.234,89.961
maxvit_rmlp_tiny_rw_256.sw_in1k,90.312,90.312,90.859,90.494
maxvit_small_tf_224.in1k,92.383,92.266,92.93,92.526
maxvit_tiny_rw_224.sw_in1k,91.094,89.844,89.57,90.169
maxvit_tiny_tf_224.in1k,92.227,92.812,92.617,92.552
maxvit_tiny_tf_512.in1k,93.789,94.023,94.297,94.036
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,93.203,93.047,92.891,93.047
mixer_b16_224.goog_in21k_ft_in1k,90.508,90.82,90.781,90.703
mixnet_l.ft_in1k,79.141,77.695,78.477,78.438
mixnet_m.ft_in1k,77.812,77.148,78.398,77.786
mixnet_s.ft_in1k,77.656,76.992,77.773,77.474
mixnet_xl.ra_in1k,76.484,78.203,78.516,77.734
mnasnet_100.rmsp_in1k,76.172,78.281,77.383,77.279
mnasnet_small.lamb_in1k,80.273,79.648,79.648,79.856
mobilenetv2_050.lamb_in1k,72.539,67.266,70.195,70.0
mobilenetv2_100.ra_in1k,71.797,70.391,70.195,70.794
mobilenetv2_110d.ra_in1k,73.008,73.633,75.156,73.932
mobilenetv2_120d.ra_in1k,74.648,73.75,75.078,74.492
mobilenetv2_140.ra_in1k,73.789,73.242,73.594,73.542
mobilenetv3_large_100.miil_in21k_ft_in1k,76.289,76.836,77.305,76.81
mobilenetv3_large_100.ra_in1k,77.305,77.461,77.617,77.461
mobilenetv3_rw.rmsp_in1k,80.547,80.625,78.086,79.753
mobilenetv3_small_100.lamb_in1k,81.484,81.523,82.031,81.679
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,86.133,85.508,86.133,85.925
mobilenetv4_conv_small_050.e3000_r224_in1k,77.305,79.57,77.734,78.203
mobileone_s2.apple_in1k,87.344,87.227,87.344,87.305
mobileone_s4.apple_in1k,87.578,87.93,88.047,87.852
mobilevit_xs.cvnets_in1k,90.195,90.859,90.547,90.534
mobilevit_xxs.cvnets_in1k,90.391,90.195,89.805,90.13
mobilevitv2_050.cvnets_in1k,86.406,86.641,86.406,86.484
