Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
efficientnet_b1.ra4_e3600_r240_in1k,77.539,77.305,77.617,77.487
efficientnet_b2.ra_in1k,77.109,79.023,77.148,77.76
efficientnet_b3.ra2_in1k,79.492,78.242,78.867,78.867
efficientnet_b4.ra2_in1k,81.172,81.328,81.172,81.224
efficientnet_es.ra_in1k,78.867,79.258,79.961,79.362
efficientnet_es_pruned.in1k,78.242,78.828,78.242,78.437
efficientnet_lite0.ra_in1k,77.539,77.852,78.047,77.813
efficientvit_b2.r256_in1k,79.766,79.453,80.0,79.74
efficientvit_b2.r288_in1k,80.625,80.547,80.156,80.443
efficientvit_b3.r256_in1k,78.359,78.945,78.438,78.581
efficientvit_m1.r224_in1k,70.977,71.055,70.0,70.677
eva02_base_patch14_448.mim_in22k_ft_in1k,75.0,75.898,76.25,75.716
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,80.508,80.352,80.234,80.365
eva02_large_patch14_448.mim_in22k_ft_in1k,78.32,78.516,78.672,78.503
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,82.188,82.617,81.875,82.227
eva02_large_patch14_448.mim_m38m_ft_in1k,78.711,78.906,78.75,78.789
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,81.719,81.875,81.914,81.836
eva02_small_patch14_336.mim_in22k_ft_in1k,75.43,75.312,74.023,74.922
eva_giant_patch14_560.m30m_ft_in22k_in1k,82.578,82.188,82.578,82.448
eva_large_patch14_196.in22k_ft_in1k,77.969,78.633,78.945,78.516
eva_large_patch14_196.in22k_ft_in22k_in1k,80.898,81.641,81.562,81.367
eva_large_patch14_336.in22k_ft_in1k,79.844,79.883,80.078,79.935
eva_large_patch14_336.in22k_ft_in22k_in1k,82.305,81.758,81.25,81.771
fasternet_t2.in1k,77.109,77.969,77.5,77.526
fastvit_sa36.apple_dist_in1k,78.32,77.461,78.789,78.19
fastvit_t8.apple_dist_in1k,74.609,74.219,74.766,74.531
focalnet_base_lrf.ms_in1k,76.484,76.797,76.719,76.667
focalnet_base_srf.ms_in1k,79.336,79.336,78.398,79.023
focalnet_small_lrf.ms_in1k,77.461,77.188,76.836,77.162
focalnet_small_srf.ms_in1k,74.062,74.57,74.102,74.245
focalnet_tiny_lrf.ms_in1k,77.969,77.5,77.852,77.774
focalnet_tiny_srf.ms_in1k,77.227,76.328,76.68,76.745
ghostnet_100.in1k,79.531,79.375,79.57,79.492
ghostnetv2_100.in1k,75.938,75.508,76.367,75.938
ghostnetv2_130.in1k,77.734,77.227,77.5,77.487
hardcorenas_b.miil_green_in1k,76.953,76.992,76.953,76.966
hardcorenas_f.miil_green_in1k,78.633,78.594,78.281,78.503
hgnet_small.ssld_in1k,79.609,80.781,79.688,80.026
hgnetv2_b0.ssld_stage1_in22k_in1k,77.305,77.539,77.812,77.552
hrnet_w18.ms_aug_in1k,79.727,79.883,79.766,79.792
hrnet_w18.ms_in1k,80.312,81.016,80.43,80.586
hrnet_w18_small.ms_in1k,80.078,81.094,80.859,80.677
hrnet_w18_small_v2.ms_in1k,80.703,80.898,80.742,80.781
hrnet_w30.ms_in1k,78.867,78.711,78.711,78.763
hrnet_w32.ms_in1k,78.672,79.57,78.984,79.075
hrnet_w40.ms_in1k,77.969,77.969,77.773,77.904
hrnet_w44.ms_in1k,78.242,77.852,78.477,78.19
hrnet_w48.ms_in1k,78.555,78.008,77.969,78.177
inception_v3.tf_in1k,78.203,78.164,78.477,78.281
inception_v3.tv_in1k,79.18,79.18,78.867,79.076
lcnet_100.ra2_in1k,74.219,73.789,74.023,74.01
legacy_seresnet18.in1k,75.703,74.922,75.82,75.482
legacy_seresnet34.in1k,76.289,76.172,76.367,76.276
levit_128.fb_dist_in1k,76.602,76.016,76.25,76.289
levit_128s.fb_dist_in1k,74.18,74.062,74.023,74.088
levit_192.fb_dist_in1k,76.289,76.25,76.797,76.445
levit_256.fb_dist_in1k,77.891,77.656,77.773,77.773
levit_384.fb_dist_in1k,78.789,78.008,78.594,78.464
maxvit_base_tf_224.in1k,78.789,79.18,79.141,79.037
maxvit_base_tf_384.in21k_ft_in1k,77.422,78.086,78.438,77.982
maxvit_large_tf_224.in1k,77.5,76.953,77.148,77.2
maxvit_large_tf_384.in1k,78.438,78.242,78.516,78.399
maxvit_large_tf_384.in21k_ft_in1k,78.828,78.633,79.219,78.893
maxvit_large_tf_512.in21k_ft_in1k,76.68,77.227,77.031,76.979
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,78.008,78.164,77.852,78.008
maxvit_rmlp_small_rw_224.sw_in1k,81.719,81.641,81.758,81.706
maxvit_rmlp_tiny_rw_256.sw_in1k,75.391,75.352,75.625,75.456
maxvit_small_tf_224.in1k,79.844,80.391,80.039,80.091
maxvit_tiny_rw_224.sw_in1k,77.734,77.734,77.852,77.773
maxvit_tiny_tf_224.in1k,78.711,78.711,77.891,78.438
maxvit_tiny_tf_512.in1k,71.523,69.961,70.977,70.82
maxvit_xlarge_tf_384.in21k_ft_in1k,80.703,80.273,80.352,80.443
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,79.609,80.352,80.156,80.039
mixer_b16_224.goog_in21k_ft_in1k,79.141,78.633,78.008,78.594
mixnet_l.ft_in1k,80.078,79.141,79.766,79.662
mixnet_m.ft_in1k,81.055,80.898,81.406,81.12
mixnet_s.ft_in1k,80.547,79.531,80.0,80.026
mixnet_xl.ra_in1k,77.539,77.5,78.086,77.708
mnasnet_100.rmsp_in1k,79.883,79.805,79.336,79.675
