task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18_depth,VPT1 v18 Depth,dla60.in1k,dla60.in1k,77.826,86.445,8.619,0.703000000000003,1.0150000000000006,0.31462817561192674,0.4695532155381562,77.036,93.316,22.04,224
vpt1_v18_depth,VPT1 v18 Depth,dla60x_c.in1k,dla60x,76.224,80.612,4.387999999999991,1.0160000000000053,3.944999999999993,0.45369887223429084,1.6356377621248788,67.928,88.426,1.32,224
vpt1_v18_depth,VPT1 v18 Depth,dpn107.mx_in1k,dpn107.mx,76.693,91.12,14.427000000000007,0.3130000000000024,0.11699999999999022,0.12913128547679328,0.04864154602805675,80.166,94.932,86.92,224
vpt1_v18_depth,VPT1 v18 Depth,dpn131.mx_in1k,dpn131.mx,77.318,90.625,13.307000000000002,0.03899999999998727,0.5079999999999956,0.018384776310844234,0.2233701462197269,79.836,94.708,79.25,224
vpt1_v18_depth,VPT1 v18 Depth,dpn68.mx_in1k,dpn68.mx,74.492,89.687,15.194999999999993,0.4300000000000068,0.8979999999999961,0.1777363840698441,0.3917629668845947,76.304,92.994,12.61,224
vpt1_v18_depth,VPT1 v18 Depth,dpn68b.mx_in1k,dpn68b.mx,76.211,90.091,13.879999999999995,0.3119999999999976,0.27299999999999613,0.13880201727640565,0.12055704044144464,77.494,93.834,12.61,224
vpt1_v18_depth,VPT1 v18 Depth,dpn92.mx_in1k,dpn92.mx,75.911,90.586,14.674999999999997,0.5859999999999985,0.5859999999999985,0.2394192046506614,0.24079082669865545,80.032,94.876,37.67,224
vpt1_v18_depth,VPT1 v18 Depth,dpn98.mx_in1k,dpn98.mx,75.521,91.198,15.676999999999992,0.23399999999999466,0.5080000000000098,0.1023621023621532,0.21721315695776175,79.664,94.644,61.57,224
vpt1_v18_depth,VPT1 v18 Depth,eca_nfnet_l0.ra2_in1k,eca,81.419,89.505,8.085999999999999,1.1720000000000113,0.8599999999999994,0.4788200775517574,0.3587125125593843,81.762,95.994,24.14,224
vpt1_v18_depth,VPT1 v18 Depth,eca_nfnet_l1.ra2_in1k,eca,83.906,91.159,7.253,0.9770000000000039,0.07800000000000296,0.3998107885821339,0.03676955262170187,83.264,96.684,41.41,256
vpt1_v18_depth,VPT1 v18 Depth,ecaresnet50t.a2_in1k,ecaresnet50t.a2,80.273,85.768,5.4950000000000045,0.35199999999998965,0.5080000000000098,0.16593439131843826,0.21247326629223381,80.884,95.022,25.57,224
vpt1_v18_depth,VPT1 v18 Depth,edgenext_xx_small.in1k,edgenext,73.086,89.636,16.549999999999997,0.5459999999999923,1.2109999999999985,0.22962578252452145,0.5186407448535277,71.132,90.042,1.33,256
vpt1_v18_depth,VPT1 v18 Depth,efficientformer_l1.snap_dist_in1k,efficientformer,77.018,88.034,11.016000000000005,0.625,0.4679999999999893,0.2711289156266592,0.2047242047243016,80.502,94.992,12.29,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformer_l3.snap_dist_in1k,efficientformer,78.945,89.089,10.144000000000005,0.5079999999999956,1.25,0.2092467974001543,0.5892556509887896,82.562,96.25,31.41,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformer_l7.snap_dist_in1k,efficientformer,80.495,88.789,8.293999999999997,0.7820000000000107,0.703000000000003,0.34438963721666355,0.2922947523001795,83.396,96.532,82.23,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformerv2_l.snap_dist_in1k,efficientformerv2,74.284,89.284,15.0,1.171999999999997,0.7420000000000044,0.4798777622131136,0.3497821544269476,83.642,96.546,26.32,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformerv2_s0.snap_dist_in1k,efficientformerv2,72.747,85.182,12.435000000000002,1.0160000000000053,0.7420000000000044,0.45389009927759355,0.30642272906703516,76.102,92.85,3.6,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformerv2_s1.snap_dist_in1k,efficientformerv2,70.625,87.305,16.680000000000007,2.305000000000007,1.0929999999999893,0.9510608112348393,0.47598762822390517,79.684,94.712,6.19,224
vpt1_v18_depth,VPT1 v18 Depth,efficientformerv2_s2.snap_dist_in1k,efficientformerv2,74.232,87.891,13.659000000000006,0.8990000000000009,0.5079999999999956,0.4066565572513958,0.22337014621972442,82.156,95.912,12.71,224
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b0.ra_in1k,efficientnet,76.992,75.729,-1.2630000000000052,0.27299999999999613,1.0159999999999911,0.11481289126225992,0.44024260988181607,77.698,93.538,5.29,224
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b1.ft_in1k,efficientnet,78.216,73.646,-4.569999999999993,0.6639999999999873,1.0150000000000006,0.2786638755841036,0.4339664605575986,77.592,93.636,7.79,224
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b1.ra4_e3600_r240_in1k,efficientnet,77.487,82.669,5.182000000000002,0.3119999999999976,2.5,0.13257450735341092,1.0311637438674162,80.404,95.152,7.79,240
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b2.ra_in1k,efficientnet,77.76,74.518,-3.2420000000000044,1.9140000000000015,1.4059999999999917,0.8932177785960156,0.578688747658586,79.324,94.582,9.11,256
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b3.ra2_in1k,efficientnet,78.867,77.552,-1.3149999999999977,1.25,1.5619999999999976,0.5103103630798288,0.6379487962733886,81.472,95.696,12.23,288
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_b4.ra2_in1k,efficientnet,81.224,78.555,-2.668999999999997,0.1560000000000059,0.3130000000000024,0.07353910524340374,0.1392703206796856,82.658,96.134,19.34,320
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_es.ra_in1k,efficientnet,79.362,75.247,-4.114999999999995,1.093999999999994,1.9920000000000044,0.45263745610219325,0.8157909590629767,78.1,93.928,5.44,224
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_es_pruned.in1k,efficientnet,78.437,79.779,1.3419999999999987,0.5859999999999985,1.3290000000000077,0.27624304918354387,0.5475547664135755,75.01,92.438,5.44,224
vpt1_v18_depth,VPT1 v18 Depth,efficientnet_lite0.ra_in1k,efficientnet,77.813,72.734,-5.079000000000008,0.5079999999999956,0.8979999999999961,0.2092467974001552,0.36762511097886236,75.488,92.508,4.65,224
vpt1_v18_depth,VPT1 v18 Depth,efficientvit_b2.r256_in1k,efficientvit,79.74,90.052,10.312000000000012,0.546999999999997,0.6639999999999873,0.22408678874241653,0.29634364436503996,82.712,96.092,24.33,256
vpt1_v18_depth,VPT1 v18 Depth,efficientvit_b2.r288_in1k,efficientvit,80.443,90.703,10.260000000000005,0.4689999999999941,1.171999999999997,0.2051898849575377,0.491017990166007,83.078,96.286,24.33,288
vpt1_v18_depth,VPT1 v18 Depth,efficientvit_b3.r256_in1k,efficientvit,78.581,90.443,11.861999999999995,0.5859999999999985,1.2109999999999985,0.2596335023750873,0.5087372166016115,83.782,96.498,48.65,256
vpt1_v18_depth,VPT1 v18 Depth,efficientvit_m1.r224_in1k,efficientvit,70.677,84.01,13.332999999999998,1.0550000000000068,1.9139999999999873,0.4800043981280012,0.8451214245433681,68.34,88.692,2.98,224
vpt1_v18_depth,VPT1 v18 Depth,eva02_base_patch14_448.mim_in22k_ft_in1k,eva02,75.716,94.349,18.63300000000001,1.25,0.27300000000001035,0.5262876273167233,0.11183022847155838,88.262,98.57,87.12,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,eva02,80.365,94.349,13.984000000000009,0.2740000000000009,1.1330000000000098,0.11221804172631467,0.48823013699142853,88.678,98.726,87.12,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_large_patch14_448.mim_in22k_ft_in1k,eva02,78.503,94.505,16.001999999999995,0.35200000000000387,0.8200000000000074,0.1440123451498381,0.37769505630277705,89.634,98.954,305.08,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,eva02,82.227,94.922,12.694999999999993,0.7420000000000044,0.3509999999999991,0.3041516434646101,0.1459246380841829,89.956,99.014,305.08,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_large_patch14_448.mim_m38m_ft_in1k,eva02,78.789,95.182,16.393,0.1950000000000074,0.23399999999999466,0.08424962907930537,0.1023621023621508,89.55,98.924,305.08,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,eva02,81.836,94.687,12.850999999999999,0.1950000000000074,0.7810000000000059,0.08424962907930537,0.33746143812623014,90.056,99.054,305.08,448
vpt1_v18_depth,VPT1 v18 Depth,eva02_small_patch14_336.mim_in22k_ft_in1k,eva02,74.922,93.542,18.620000000000005,1.4070000000000107,1.0940000000000083,0.6372766711213894,0.4649260395183585,85.77,97.616,22.13,336
vpt1_v18_depth,VPT1 v18 Depth,eva_large_patch14_196.in22k_ft_in1k,eva,78.516,93.255,14.73899999999999,0.9759999999999991,0.703000000000003,0.40699658748228107,0.29621201116017476,87.952,98.49,304.14,196
vpt1_v18_depth,VPT1 v18 Depth,eva_large_patch14_196.in22k_ft_in22k_in1k,eva,81.367,92.786,11.418999999999997,0.7430000000000092,1.1330000000000098,0.3331976390472606,0.47356965931341766,88.59,98.662,304.14,196
vpt1_v18_depth,VPT1 v18 Depth,eva_large_patch14_336.in22k_ft_in1k,eva,79.935,93.568,13.632999999999996,0.23400000000000887,0.9759999999999991,0.10236210236215743,0.4011195443865688,88.68,98.714,304.53,336
vpt1_v18_depth,VPT1 v18 Depth,eva_large_patch14_336.in22k_ft_in22k_in1k,eva,81.771,94.675,12.903999999999996,1.0550000000000068,0.39100000000000534,0.430800030950172,0.1843191676292959,89.238,98.848,304.53,336
vpt1_v18_depth,VPT1 v18 Depth,fasternet_t2.in1k,fasternet,77.526,88.88,11.354,0.8599999999999994,0.3119999999999976,0.35157455349707323,0.12869343417595125,78.738,94.332,14.98,224
vpt1_v18_depth,VPT1 v18 Depth,fastvit_sa36.apple_dist_in1k,fastvit,78.19,89.844,11.653999999999996,1.328000000000003,0.4690000000000083,0.5498915044503483,0.19146859330507318,84.028,96.85,31.53,256
vpt1_v18_depth,VPT1 v18 Depth,fastvit_t8.apple_dist_in1k,fastvit,74.531,89.557,15.025999999999996,0.5470000000000113,0.625,0.2299656979251993,0.2656066431565455,77.17,93.274,4.03,256
vpt1_v18_depth,VPT1 v18 Depth,focalnet_base_lrf.ms_in1k,focalnet,76.667,91.484,14.816999999999993,0.3130000000000024,0.07800000000000296,0.1330321598545094,0.03184336665618252,83.828,96.61,88.75,224
vpt1_v18_depth,VPT1 v18 Depth,focalnet_base_srf.ms_in1k,focalnet,79.023,91.784,12.76100000000001,0.9380000000000024,0.8589999999999947,0.4421774405019888,0.36259282336465826,83.808,96.66,88.15,224
vpt1_v18_depth,VPT1 v18 Depth,focalnet_small_lrf.ms_in1k,focalnet,77.162,91.966,14.803999999999988,0.625,0.7029999999999887,0.25583371335476673,0.3014325058044556,83.508,96.586,50.34,224
vpt1_v18_depth,VPT1 v18 Depth,focalnet_small_srf.ms_in1k,focalnet,74.245,91.875,17.629999999999995,0.5079999999999956,0.703000000000003,0.2306242735610326,0.3075519829593431,83.428,96.432,49.89,224
vpt1_v18_depth,VPT1 v18 Depth,focalnet_tiny_lrf.ms_in1k,focalnet,77.774,91.914,14.14,0.4689999999999941,0.9770000000000039,0.19931939750616762,0.40734833578482665,82.174,95.948,28.65,224
vpt1_v18_depth,VPT1 v18 Depth,focalnet_tiny_srf.ms_in1k,focalnet,76.745,91.68,14.935000000000002,0.8990000000000009,0.1559999999999917,0.3698819631540132,0.06368673331235924,82.146,95.972,28.43,224
vpt1_v18_depth,VPT1 v18 Depth,ghostnet_100.in1k,ghostnet,79.492,86.81,7.317999999999998,0.19499999999999318,0.11700000000000443,0.08424962907930099,0.04864154602806308,73.958,91.542,5.18,224
