model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
coatnet_nano_rw_224.sw_in1k,81.704,54.089,55.794,1.7049999999999983,224,15.14
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.94,57.305,56.576,-0.7289999999999992,224,41.72
coatnet_rmlp_1_rw_224.sw_in1k,83.35,54.714,57.253,2.5390000000000015,224,41.69
coatnet_rmlp_2_rw_224.sw_in1k,84.608,56.172,52.826,-3.3459999999999965,224,73.88
coatnet_rmlp_nano_rw_224.sw_in1k,82.064,53.424,54.609,1.1850000000000023,224,15.15
convformer_s18.sail_in1k_384,84.392,56.628,61.042,4.4140000000000015,384,26.77
convit_base.fb_in1k,82.296,55.417,58.932,3.5150000000000006,224,86.54
convit_small.fb_in1k,81.412,53.451,58.242,4.790999999999997,224,27.78
convit_tiny.fb_in1k,73.14,53.776,53.125,-0.6510000000000034,224,5.71
convmixer_1536_20.in1k,81.382,55.417,54.18,-1.2370000000000019,224,51.63
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,87.144,59.505,63.216,3.7109999999999985,384,88.59
convnext_base.fb_in22k_ft_in1k,85.814,55.338,57.747,2.408999999999999,224,88.59
convnext_base.fb_in22k_ft_in1k_384,86.826,57.252,59.713,2.4609999999999985,384,88.59
convnext_large.fb_in22k_ft_in1k,86.612,55.768,60.911,5.143000000000001,224,197.77
convnext_large.fb_in22k_ft_in1k_384,87.456,58.008,63.359,5.350999999999999,384,197.77
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,87.344,59.284,59.427,0.14300000000000068,256,200.13
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,88.334,60.377,62.149,1.7719999999999985,384,200.13
convnext_nano.in12k_ft_in1k,82.306,53.841,57.331,3.490000000000002,224,15.59
convnext_small.fb_in1k,83.144,55.247,58.607,3.3599999999999994,224,50.22
convnext_small.fb_in22k_ft_in1k,84.582,55.521,58.945,3.4239999999999995,224,50.22
convnext_small.in12k_ft_in1k_384,86.186,56.953,61.029,4.0760000000000005,384,50.22
convnext_tiny.fb_in22k_ft_in1k,78.95,56.732,58.971,2.238999999999997,288,28.59
convnext_xlarge.fb_in22k_ft_in1k_384,87.764,59.895,63.893,3.9979999999999976,384,350.20
convnext_xxlarge.clip_laion2b_soup_ft_in1k,88.622,60.208,57.201,-3.006999999999998,256,846.47
convnextv2_atto.fcmae_ft_in1k,76.644,53.06,57.591,4.530999999999999,224,3.71
convnextv2_base.fcmae_ft_in22k_in1k,86.752,56.927,61.758,4.831000000000003,224,88.72
convnextv2_base.fcmae_ft_in22k_in1k_384,87.638,57.93,62.396,4.466000000000001,384,88.72
convnextv2_large.fcmae_ft_in1k,85.762,55.976,60.833,4.856999999999999,224,197.96
convnextv2_large.fcmae_ft_in22k_in1k,87.266,58.008,60.235,2.2269999999999968,224,197.96
convnextv2_large.fcmae_ft_in22k_in1k_384,88.18,57.982,61.028,3.0459999999999994,384,197.96
convnextv2_nano.fcmae_ft_in22k_in1k,82.038,55.078,57.5,2.421999999999997,224,15.62
convnextv2_tiny.fcmae_ft_in22k_in1k,83.904,55.43,59.714,4.283999999999999,224,28.64
crossvit_15_240.in1k,81.522,53.789,57.813,4.024000000000001,240,27.53
crossvit_18_240.in1k,82.39,52.565,59.505,6.940000000000005,240,43.27
crossvit_9_240.in1k,73.994,54.245,56.706,2.4610000000000056,240,8.55
crossvit_tiny_240.in1k,73.352,53.125,57.5,4.375,240,7.01
davit_base.msft_in1k,84.652,53.359,59.206,5.847000000000001,224,87.95
davit_small.msft_in1k,84.252,54.713,58.425,3.711999999999996,224,49.75
davit_tiny.msft_in1k,82.694,55.443,56.536,1.0930000000000035,224,28.36
deit3_base_patch16_224.fb_in1k,83.8,56.081,58.789,2.7079999999999984,224,86.59
deit3_base_patch16_224.fb_in22k_ft_in1k,85.728,56.862,60.351,3.488999999999997,224,86.59
