model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
resnet34.a3_in1k,70.58,54.596,56.641,2.0450000000000017,160,21.80
resnet34.gluon_in1k,74.574,55.612,58.776,3.1640000000000015,224,21.80
resnet34d.ra2_in1k,77.108,54.675,54.401,-0.2739999999999938,224,21.82
resnet50.a1_in1k,80.382,54.375,54.636,0.2610000000000028,224,25.56
resnet50.a1h_in1k,79.264,55.43,55.338,-0.09199999999999875,176,25.56
resnet50.a3_in1k,75.994,54.974,55.807,0.8330000000000055,160,25.56
resnet50.am_in1k,79.004,54.102,57.188,3.0860000000000056,224,25.56
resnet50.ram_in1k,79.034,52.695,58.724,6.028999999999996,224,25.56
resnet50.tv_in1k,76.156,52.851,59.714,6.8629999999999995,224,25.56
resnet50d.a3_in1k,77.222,54.531,53.972,-0.5589999999999975,160,25.58
resnet50d.ra2_in1k,80.546,54.922,57.318,2.396000000000001,224,25.58
resnetrs50.tf_in1k,77.858,54.597,56.862,2.2650000000000006,160,35.69
resnext101_32x8d.tv2_in1k,81.99,53.841,56.289,2.4480000000000004,176,88.79
resnext50_32x4d.a1_in1k,80.526,55.977,56.185,0.2080000000000055,224,25.03
resnext50_32x4d.tv_in1k,77.632,56.055,59.518,3.463000000000001,224,25.03
rexnet_100.nav_in1k,77.862,52.734,52.435,-0.2989999999999995,224,4.80
rexnet_130.nav_in1k,79.492,55.143,52.214,-2.929000000000002,224,7.56
rexnet_150.nav_in1k,80.322,54.049,53.398,-0.6509999999999962,224,9.73
rexnet_200.nav_in1k,81.636,54.297,53.021,-1.2759999999999962,224,16.37
rexnet_300.nav_in1k,82.78,53.633,52.839,-0.794000000000004,224,34.71
selecsls60.in1k,77.974,56.81,57.891,1.080999999999996,224,30.67
semnasnet_075.rmsp_in1k,73.0,56.042,51.614,-4.428000000000004,224,2.91
seresnet50.a3_in1k,75.104,54.74,54.44,-0.30000000000000426,160,28.09
seresnextaa101d_32x8d.sw_in12k_ft_in1k,85.956,57.318,56.914,-0.40399999999999636,224,93.59
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,86.53,57.279,58.125,0.8459999999999965,288,93.59
shvit_s3.in1k,77.356,55.586,54.961,-0.625,224,14.25
shvit_s4.in1k,79.362,53.503,56.107,2.603999999999999,256,16.59
skresnet18.ra_in1k,73.02,54.453,55.781,1.3279999999999959,224,11.96
skresnet34.ra_in1k,76.956,53.958,55.378,1.4200000000000017,224,22.28
spnasnet_100.rmsp_in1k,74.086,54.336,52.279,-2.056999999999995,224,4.42
swin_base_patch4_window7_224.ms_in1k,83.604,54.766,59.675,4.908999999999999,224,87.77
swin_base_patch4_window7_224.ms_in22k_ft_in1k,85.276,57.903,60.859,2.956000000000003,224,87.77
swin_large_patch4_window12_384.ms_in22k_ft_in1k,87.142,56.159,69.479,13.32,384,196.74
swin_s3_base_224.ms_in1k,83.92,52.526,57.865,5.338999999999999,224,71.13
swin_s3_small_224.ms_in1k,83.778,52.24,57.721,5.4809999999999945,224,49.74
swin_s3_tiny_224.ms_in1k,82.128,54.271,58.984,4.713000000000001,224,28.33
swin_small_patch4_window7_224.ms_in1k,83.228,56.016,59.844,3.828000000000003,224,49.61
swin_small_patch4_window7_224.ms_in22k_ft_in1k,83.33,55.338,60.82,5.481999999999999,224,49.61
swin_tiny_patch4_window7_224.ms_in1k,81.388,55.039,58.763,3.7239999999999966,224,28.29
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,80.966,57.513,58.477,0.9639999999999986,224,28.29
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,86.27,57.682,62.122,4.439999999999998,256,87.92
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,87.142,59.753,61.341,1.588000000000001,384,87.92
swinv2_cr_small_224.sw_in1k,83.126,54.102,57.734,3.632000000000005,224,49.70
swinv2_cr_small_ns_224.sw_in1k,83.49,54.245,56.601,2.3560000000000016,224,49.70
swinv2_cr_tiny_ns_224.sw_in1k,81.796,54.596,56.614,2.0180000000000007,224,28.33
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,86.934,56.901,63.19,6.288999999999994,256,196.74
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,87.474,57.656,70.195,12.538999999999994,384,196.74
swinv2_small_window16_256.ms_in1k,84.216,55.651,58.073,2.421999999999997,256,49.73
swinv2_tiny_window16_256.ms_in1k,82.828,53.932,55.365,1.4329999999999998,256,28.35
tf_efficientnet_b0.aa_in1k,76.882,56.64,53.047,-3.5930000000000035,224,5.29
tf_efficientnet_b0.in1k,76.542,56.758,52.93,-3.828000000000003,224,5.29
tf_efficientnet_b1.aa_in1k,78.84,55.326,52.474,-2.852000000000004,240,7.79
tf_efficientnet_b3.aa_in1k,81.648,54.987,54.037,-0.9500000000000028,300,12.23
tf_efficientnet_b4.aa_in1k,83.04,56.198,53.763,-2.4350000000000023,380,19.34
tf_efficientnet_b5.ra_in1k,83.834,55.859,54.115,-1.7439999999999998,456,30.39
tf_efficientnet_b6.aa_in1k,84.124,54.44,55.521,1.081000000000003,528,43.04
tf_efficientnet_b7.ap_in1k,85.132,54.857,58.242,3.384999999999998,600,66.35
tf_efficientnet_b7.ra_in1k,84.926,58.268,56.628,-1.6400000000000006,600,66.35
tf_efficientnetv2_b3.in21k_ft_in1k,81.078,57.669,52.826,-4.842999999999996,240,14.36
tf_efficientnetv2_l.in21k_ft_in1k,85.846,55.964,57.422,1.4579999999999984,384,118.52
tf_mobilenetv3_large_075.in1k,73.442,55.43,53.281,-2.149000000000001,224,3.99
tf_mobilenetv3_large_minimal_100.in1k,72.27,55.377,53.125,-2.2520000000000024,224,3.92
tf_mobilenetv3_small_075.in1k,65.706,54.766,52.839,-1.9269999999999996,224,2.04
tf_mobilenetv3_small_100.in1k,67.922,55.313,54.049,-1.264000000000003,224,2.54
tf_mobilenetv3_small_minimal_100.in1k,62.892,55.065,53.906,-1.158999999999999,224,2.04
tiny_vit_21m_224.in1k,83.268,56.601,56.823,0.2220000000000013,224,21.20
tiny_vit_5m_224.in1k,79.196,55.0,54.518,-0.4819999999999993,224,5.39
tinynet_c.in1k,71.214,54.323,53.255,-1.0679999999999978,184,2.46
tresnet_l.miil_in1k,81.498,54.635,58.164,3.5290000000000035,224,55.99
tresnet_m.miil_in1k,80.816,54.753,58.333,3.5799999999999983,224,31.39
tresnet_m.miil_in21k_ft_in1k,83.09,54.414,56.484,2.0700000000000003,224,31.39
tresnet_v2_l.miil_in21k_ft_in1k,83.91,55.989,55.912,-0.07699999999999818,224,46.17
tresnet_xl.miil_in1k,82.06,55.013,58.151,3.1380000000000052,224,78.44
twins_pcpvt_base.in1k,82.724,54.531,56.601,2.0700000000000003,224,43.83
twins_pcpvt_large.in1k,83.158,54.688,57.253,2.5649999999999977,224,60.99
twins_pcpvt_small.in1k,81.116,52.63,55.378,2.7479999999999976,224,24.11
twins_svt_base.in1k,83.122,53.646,57.318,3.671999999999997,224,56.07
twins_svt_large.in1k,83.718,54.336,60.599,6.262999999999998,224,99.27
twins_svt_small.in1k,81.694,53.58,57.279,3.699000000000005,224,24.06
vgg11.tv_in1k,69.05,56.107,57.943,1.8359999999999985,224,132.86
vgg11_bn.tv_in1k,70.374,54.284,58.515,4.231000000000002,224,132.87
vgg13.tv_in1k,69.95,53.75,59.037,5.286999999999999,224,133.05
vgg13_bn.tv_in1k,71.56,55.768,58.021,2.253,224,133.05
vgg16.tv_in1k,71.594,53.75,57.357,3.6069999999999993,224,138.36
vgg16_bn.tv_in1k,73.354,55.768,60.391,4.6229999999999976,224,138.37
vgg19.tv_in1k,72.4,53.034,58.373,5.338999999999999,224,143.67
vgg19_bn.tv_in1k,74.23,55.052,58.62,3.567999999999998,224,143.68
visformer_small.in1k,82.092,53.346,57.071,3.7250000000000014,224,40.22
visformer_tiny.in1k,78.16,53.021,56.511,3.490000000000002,224,10.32
vit_base_patch16_224.augreg2_in21k_ft_in1k,85.108,57.591,60.873,3.2819999999999965,224,86.57
vit_base_patch16_224.augreg_in1k,79.154,54.401,54.375,-0.026000000000003354,224,86.57
vit_base_patch16_224.augreg_in21k_ft_in1k,84.534,56.589,55.807,-0.7819999999999965,224,86.57
vit_base_patch16_224.orig_in21k_ft_in1k,81.782,54.518,56.979,2.4609999999999985,224,86.57
vit_base_patch16_224.sam_in1k,80.246,56.159,58.373,2.2139999999999986,224,86.57
vit_base_patch16_224_miil.in21k_ft_in1k,84.278,55.026,57.409,2.3829999999999956,224,86.54
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,86.204,57.943,55.299,-2.6439999999999984,224,86.57
vit_base_patch16_clip_224.laion2b_ft_in1k,85.488,55.039,56.133,1.0940000000000012,224,86.57
vit_base_patch16_clip_224.openai_ft_in12k_in1k,85.954,56.55,56.771,0.22100000000000364,224,86.57
vit_base_patch16_clip_224.openai_ft_in1k,85.282,55.273,53.58,-1.693000000000005,224,86.57
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,87.21,58.398,58.164,-0.23400000000000176,384,86.86
vit_base_patch16_clip_384.laion2b_ft_in1k,86.638,56.797,55.586,-1.2109999999999985,384,86.86
vit_base_patch16_rpn_224.sw_in1k,82.218,54.141,59.089,4.948,224,86.54
vit_base_patch32_224.augreg_in1k,74.908,54.844,56.966,2.122,224,88.22
vit_base_patch32_224.augreg_in21k_ft_in1k,80.732,56.901,57.474,0.5729999999999933,224,88.22
vit_base_patch32_224.sam_in1k,73.704,53.542,57.409,3.8669999999999973,224,88.22
vit_base_patch32_384.augreg_in1k,78.75,55.807,55.846,0.03899999999999437,384,88.30
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,83.304,54.193,54.206,0.01300000000000523,224,88.22
vit_base_patch32_clip_224.laion2b_ft_in1k,82.614,53.281,54.075,0.794000000000004,224,88.22
vit_base_patch32_clip_224.openai_ft_in1k,81.944,53.815,53.854,0.03900000000000148,224,88.22
vit_base_patch8_224.augreg2_in21k_ft_in1k,86.252,55.521,58.737,3.216000000000001,224,86.58
vit_base_patch8_224.augreg_in21k_ft_in1k,85.838,56.588,55.521,-1.0670000000000002,224,86.58
vit_huge_patch14_clip_224.laion2b_ft_in1k,87.612,58.529,54.154,-4.375,224,632.05
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,88.634,60.677,53.047,-7.630000000000003,336,632.46
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,87.9,57.825,57.148,-0.6769999999999996,224,304.20
vit_large_patch14_clip_224.laion2b_ft_in1k,87.288,57.513,55.508,-2.0049999999999955,224,304.20
vit_large_patch14_clip_224.openai_ft_in12k_in1k,88.162,57.604,53.724,-3.8800000000000026,224,304.20
vit_large_patch14_clip_224.openai_ft_in1k,87.858,57.24,54.297,-2.943000000000005,224,304.20
vit_large_patch16_224.augreg_in21k_ft_in1k,85.856,58.359,56.641,-1.7180000000000035,224,304.33
vit_large_patch16_384.augreg_in21k_ft_in1k,87.096,58.503,56.745,-1.7580000000000027,384,304.72
vit_large_r50_s32_384.augreg_in21k_ft_in1k,86.188,57.435,55.312,-2.1230000000000047,384,329.09
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,85.556,55.547,59.635,4.088000000000001,384,39.03
vit_relpos_base_patch16_224.sw_in1k,82.482,55.573,56.406,0.8329999999999984,224,86.43
vit_relpos_base_patch16_clsgap_224.sw_in1k,82.758,53.867,60.951,7.084000000000003,224,86.43
vit_relpos_medium_patch16_224.sw_in1k,82.462,52.135,54.088,1.953000000000003,224,38.75
vit_relpos_medium_patch16_cls_224.sw_in1k,82.558,54.44,57.083,2.6430000000000007,224,38.76
vit_relpos_medium_patch16_rpn_224.sw_in1k,82.314,53.789,56.524,2.7349999999999994,224,38.73
vit_relpos_small_patch16_224.sw_in1k,81.476,54.544,54.687,0.14300000000000068,224,21.98
vit_small_patch16_224.augreg_in1k,78.842,51.211,57.865,6.6540000000000035,224,22.05
vit_small_patch16_224.augreg_in21k_ft_in1k,81.402,55.13,58.568,3.4379999999999953,224,22.05
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,89.056,59.023,61.198,2.174999999999997,378,414.14
vit_srelpos_medium_patch16_224.sw_in1k,82.256,52.058,57.239,5.180999999999997,224,38.74
vit_srelpos_small_patch16_224.sw_in1k,81.108,51.432,56.849,5.4169999999999945,224,21.97
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.452,50.82,55.456,4.636000000000003,224,5.72
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,71.8,53.437,56.172,2.7349999999999994,224,6.34
volo_d1_224.sail_in1k,84.148,53.411,55.82,2.408999999999999,224,26.63
volo_d1_384.sail_in1k,85.262,53.802,58.138,4.3359999999999985,384,26.78
volo_d2_224.sail_in1k,85.204,53.802,55.872,2.0700000000000003,224,58.68
volo_d2_384.sail_in1k,86.054,52.904,58.893,5.988999999999997,384,58.87
volo_d3_224.sail_in1k,85.44,54.583,57.982,3.399000000000001,224,86.33
volo_d4_224.sail_in1k,85.868,55.716,56.654,0.9380000000000024,224,192.96
volo_d5_224.sail_in1k,86.076,55.742,57.083,1.341000000000001,224,295.46
wide_resnet101_2.tv_in1k,78.862,53.997,60.833,6.8359999999999985,224,126.89
wide_resnet50_2.tv_in1k,78.486,54.141,60.677,6.536000000000001,224,68.88
xception65.ra3_in1k,83.186,55.638,55.221,-0.4170000000000016,299,39.92
xcit_large_24_p16_224.fb_dist_in1k,84.936,55.286,56.003,0.7169999999999987,224,189.10
xcit_medium_24_p8_224.fb_in1k,83.744,52.422,57.461,5.0390000000000015,224,84.32
xcit_nano_12_p16_224.fb_in1k,69.982,51.159,55.586,4.427,224,3.05
xcit_nano_12_p8_224.fb_in1k,73.9,52.305,55.234,2.929000000000002,224,3.05
xcit_small_12_p16_224.fb_dist_in1k,83.354,54.726,55.534,0.8079999999999998,224,26.25
xcit_small_12_p8_224.fb_in1k,83.354,53.112,56.054,2.942,224,26.21
xcit_small_24_p16_384.fb_dist_in1k,85.102,55.834,56.12,0.28599999999999426,384,47.67
xcit_small_24_p8_224.fb_in1k,83.854,54.74,56.458,1.7179999999999964,224,47.63
xcit_tiny_12_p16_224.fb_dist_in1k,78.572,53.594,53.685,0.09100000000000108,224,6.72
xcit_tiny_12_p16_384.fb_dist_in1k,80.954,54.597,55.039,0.44200000000000017,384,6.72
xcit_tiny_12_p8_224.fb_in1k,79.71,52.057,54.284,2.2269999999999968,224,6.71
xcit_tiny_24_p8_224.fb_in1k,81.888,53.034,56.289,3.2550000000000026,224,12.11
