model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
convnextv2_large.fcmae_ft_in22k_in1k_384,convnextv2,384,57.982,61.028,3.0459999999999994,0.7663368855942028,1.026800965242155,1.875,2.4609999999999985
convnextv2_nano.fcmae_ft_in22k_in1k,convnextv2,unknown,55.078,57.5,2.421999999999997,0.6661212769125111,0.7740617259337625,1.4849999999999994,1.8359999999999985
convnextv2_tiny.fcmae_ft_in22k_in1k,convnextv2,unknown,55.43,59.714,4.283999999999999,0.4467402924394534,0.9231165810569218,1.0159999999999982,2.0319999999999965
crossvit_15_240.in1k,crossvit,240,53.789,57.813,4.024000000000001,1.203682959365409,2.039132549775898,2.929000000000002,4.844000000000001
crossvit_18_240.in1k,crossvit,240,52.565,59.505,6.940000000000005,0.3409617117637812,0.24779740829063426,0.7419999999999973,0.5859999999999985
crossvit_9_240.in1k,crossvit,240,54.245,56.706,2.4610000000000056,0.8318082043890231,0.3806897249291929,1.9140000000000015,0.8989999999999938
crossvit_tiny_240.in1k,crossvit,240,53.125,57.5,4.375,0.7621637327737095,0.6588009309849748,1.8359999999999985,1.5620000000000047
davit_base.msft_in1k,davit,unknown,53.359,59.206,5.847000000000001,1.8036715024884367,0.7713301642112972,4.023000000000003,1.7960000000000065
davit_small.msft_in1k,davit,unknown,54.713,58.425,3.711999999999996,0.7177744925965414,1.0579793108668163,1.6799999999999997,2.5390000000000015
davit_tiny.msft_in1k,davit,unknown,55.443,56.536,1.0930000000000035,0.16375252330540987,0.40618660189075206,0.39099999999999824,0.8980000000000032
deit3_base_patch16_224.fb_in1k,deit3,224,56.081,58.789,2.7079999999999984,0.7078042730083577,1.265904683089001,1.6799999999999997,2.9299999999999997
deit3_base_patch16_224.fb_in22k_ft_in1k,deit3,224,56.862,60.351,3.488999999999997,0.5744123567225522,1.2943593868096357,1.2890000000000015,3.1639999999999944
deit3_huge_patch14_224.fb_in1k,deit3,224,53.945,57.982,4.036999999999999,0.8086900243947365,1.7876869599196241,1.8360000000000056,4.219000000000001
deit3_large_patch16_224.fb_in1k,deit3,224,57.213,59.792,2.5790000000000006,0.35836139425011904,0.5002414972346437,0.8590000000000018,1.1710000000000065
deit3_medium_patch16_224.fb_in1k,deit3,224,53.802,58.62,4.817999999999998,1.5150372932703664,1.236406351757651,3.7109999999999985,2.8909999999999982
deit3_medium_patch16_224.fb_in22k_ft_in1k,deit3,224,55.859,57.617,1.7579999999999956,0.9125401665436733,1.6095403760770413,2.225999999999999,3.75
deit3_small_patch16_224.fb_in1k,deit3,224,55.885,58.49,2.605000000000004,0.6556433651172139,1.1208045721216942,1.6020000000000039,2.696000000000005
deit3_small_patch16_224.fb_in22k_ft_in1k,deit3,224,55.599,58.138,2.5390000000000015,0.6630366170548628,1.157377495317181,1.5230000000000032,2.8120000000000047
deit_base_distilled_patch16_224.fb_in1k,deit,224,54.726,56.511,1.7850000000000037,0.27624304918354387,0.6335873174937209,0.5859999999999985,1.524000000000001
