Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
resnet34.a1_in1k,97.617,97.5,97.5,97.539
resnet34.a3_in1k,97.812,97.5,97.812,97.708
resnet34.gluon_in1k,98.008,98.164,98.281,98.151
resnet34d.ra2_in1k,96.445,96.328,96.406,96.393
resnet50.a1_in1k,97.148,97.227,94.961,96.445
resnet50.a1h_in1k,71.562,90.0,78.242,79.935
resnet50.a3_in1k,95.0,96.758,92.734,94.831
resnet50.am_in1k,98.438,98.477,98.164,98.36
resnet50.ram_in1k,98.594,98.906,98.516,98.672
resnet50.tv_in1k,98.242,98.242,98.242,98.242
resnet50d.a3_in1k,93.438,90.586,90.977,91.667
resnet50d.ra2_in1k,97.578,97.578,96.68,97.279
resnetrs50.tf_in1k,96.641,97.031,96.68,96.784
resnext101_32x8d.tv2_in1k,95.703,95.703,97.188,96.198
resnext50_32x4d.a1_in1k,87.422,95.078,81.758,88.086
resnext50_32x4d.tv_in1k,97.891,98.008,97.93,97.943
rexnet_100.nav_in1k,50.078,51.719,50.742,50.846
rexnet_130.nav_in1k,54.414,53.867,52.305,53.529
rexnet_150.nav_in1k,51.523,49.961,50.625,50.703
rexnet_200.nav_in1k,52.695,52.188,53.516,52.8
rexnet_300.nav_in1k,57.109,56.016,57.773,56.966
selecsls60.in1k,98.438,98.242,98.242,98.307
semnasnet_075.rmsp_in1k,49.961,51.914,50.859,50.911
seresnet50.a3_in1k,83.438,78.594,79.609,80.547
seresnextaa101d_32x8d.sw_in12k_ft_in1k,97.656,97.891,98.086,97.878
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,97.812,98.164,98.281,98.086
shvit_s3.in1k,60.352,56.016,50.781,55.716
shvit_s4.in1k,54.609,52.617,52.5,53.242
skresnet18.ra_in1k,98.125,98.047,98.086,98.086
skresnet34.ra_in1k,98.047,97.734,98.125,97.969
spnasnet_100.rmsp_in1k,52.969,52.773,52.5,52.747
swin_base_patch4_window7_224.ms_in1k,90.352,88.086,73.164,83.867
swin_base_patch4_window7_224.ms_in22k_ft_in1k,57.539,79.727,55.312,64.193
swin_large_patch4_window12_384.ms_in22k_ft_in1k,62.773,85.312,49.375,65.82
swin_s3_base_224.ms_in1k,54.258,55.586,72.305,60.716
swin_s3_small_224.ms_in1k,55.508,71.523,95.82,74.284
swin_s3_tiny_224.ms_in1k,94.57,97.148,95.898,95.872
swin_small_patch4_window7_224.ms_in1k,71.367,60.586,85.547,72.5
swin_small_patch4_window7_224.ms_in22k_ft_in1k,95.078,63.672,64.727,74.492
swin_tiny_patch4_window7_224.ms_in1k,91.914,98.164,96.25,95.443
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,95.0,97.891,97.344,96.745
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,98.555,97.461,98.281,98.099
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,97.891,98.398,98.477,98.255
swinv2_cr_small_224.sw_in1k,53.047,69.492,59.336,60.625
swinv2_cr_small_ns_224.sw_in1k,97.5,96.602,97.93,97.344
swinv2_cr_tiny_ns_224.sw_in1k,51.25,56.016,51.797,53.021
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,98.438,98.516,98.008,98.321
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,98.438,98.359,83.32,93.372
swinv2_small_window16_256.ms_in1k,98.242,98.008,97.93,98.06
swinv2_tiny_window16_256.ms_in1k,97.969,97.852,98.125,97.982
tf_efficientnet_b0.aa_in1k,53.633,56.602,55.078,55.104
tf_efficientnet_b0.in1k,51.914,54.102,53.516,53.177
tf_efficientnet_b1.aa_in1k,55.898,53.828,52.656,54.127
tf_efficientnet_b3.aa_in1k,53.398,55.117,53.438,53.984
tf_efficientnet_b4.aa_in1k,58.242,55.469,56.016,56.576
tf_efficientnet_b5.ra_in1k,57.188,63.047,58.359,59.531
tf_efficientnet_b6.aa_in1k,70.547,72.07,66.172,69.596
tf_efficientnet_b7.ap_in1k,88.32,85.469,90.547,88.112
tf_efficientnet_b7.ra_in1k,88.672,80.625,84.102,84.466
tf_efficientnetv2_b3.in21k_ft_in1k,58.047,56.211,56.875,57.044
tf_efficientnetv2_l.in21k_ft_in1k,96.094,96.797,97.266,96.719
tf_mobilenetv3_large_075.in1k,47.617,49.18,50.938,49.245
tf_mobilenetv3_large_minimal_100.in1k,51.641,51.367,51.953,51.654
tf_mobilenetv3_small_075.in1k,50.195,51.641,50.313,50.716
tf_mobilenetv3_small_100.in1k,48.75,53.438,53.32,51.836
tf_mobilenetv3_small_minimal_100.in1k,52.93,51.719,50.977,51.875
tiny_vit_21m_224.in1k,97.539,97.5,95.977,97.005
tiny_vit_5m_224.in1k,97.383,91.797,94.102,94.427
