Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
hgnet_small.ssld_in1k,51.992,52.07,54.375,52.812
hgnetv2_b0.ssld_stage1_in22k_in1k,52.188,51.406,51.055,51.55
hrnet_w18.ms_aug_in1k,53.711,54.727,54.57,54.336
hrnet_w18.ms_in1k,51.875,54.844,50.82,52.513
hrnet_w18_small.ms_in1k,50.742,50.82,50.586,50.716
hrnet_w18_small_v2.ms_in1k,52.812,52.617,53.242,52.89
hrnet_w30.ms_in1k,52.5,51.602,52.305,52.136
hrnet_w32.ms_in1k,52.461,53.984,52.773,53.073
hrnet_w40.ms_in1k,53.086,52.344,53.086,52.839
hrnet_w44.ms_in1k,53.203,53.398,52.852,53.151
hrnet_w48.ms_in1k,52.891,53.359,53.438,53.229
inception_v3.tf_in1k,51.602,52.031,50.703,51.445
inception_v3.tv_in1k,49.375,50.625,50.625,50.208
lcnet_100.ra2_in1k,50.43,49.609,49.766,49.935
legacy_seresnet18.in1k,53.125,51.211,53.125,52.487
legacy_seresnet34.in1k,50.82,51.445,51.211,51.159
levit_128.fb_dist_in1k,51.211,50.43,52.383,51.341
levit_128s.fb_dist_in1k,48.359,47.852,51.445,49.219
levit_192.fb_dist_in1k,51.094,52.773,51.406,51.758
levit_256.fb_dist_in1k,52.148,49.844,51.328,51.107
levit_384.fb_dist_in1k,52.656,50.664,52.07,51.797
maxvit_base_tf_224.in1k,53.164,52.305,53.438,52.969
maxvit_base_tf_384.in21k_ft_in1k,51.641,50.703,49.922,50.755
maxvit_large_tf_224.in1k,50.391,52.07,52.148,51.536
maxvit_large_tf_384.in1k,52.617,53.164,51.211,52.331
maxvit_large_tf_384.in21k_ft_in1k,50.781,50.781,54.062,51.875
maxvit_large_tf_512.in21k_ft_in1k,50.898,51.562,51.523,51.328
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,51.406,50.0,50.0,50.469
maxvit_rmlp_small_rw_224.sw_in1k,50.664,48.828,52.031,50.508
maxvit_rmlp_tiny_rw_256.sw_in1k,51.25,54.727,52.656,52.878
maxvit_small_tf_224.in1k,51.836,50.859,50.391,51.029
maxvit_tiny_rw_224.sw_in1k,51.25,50.898,50.43,50.859
maxvit_tiny_tf_224.in1k,52.266,53.516,54.102,53.295
maxvit_tiny_tf_512.in1k,52.578,51.719,49.57,51.289
maxvit_xlarge_tf_384.in21k_ft_in1k,49.922,53.047,49.844,50.938
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,53.047,53.398,52.344,52.93
mixer_b16_224.goog_in21k_ft_in1k,51.523,51.328,54.297,52.383
mixnet_l.ft_in1k,51.133,50.547,50.391,50.69
mixnet_m.ft_in1k,49.766,50.391,48.789,49.649
mixnet_s.ft_in1k,51.445,51.523,50.0,50.989
mixnet_xl.ra_in1k,49.57,48.438,50.43,49.479
mnasnet_100.rmsp_in1k,51.328,52.812,51.406,51.849
mnasnet_small.lamb_in1k,50.781,51.719,50.586,51.029
mobilenetv2_050.lamb_in1k,51.172,51.328,50.703,51.068
mobilenetv2_100.ra_in1k,51.523,52.227,51.914,51.888
mobilenetv2_110d.ra_in1k,52.852,51.758,51.133,51.914
mobilenetv2_120d.ra_in1k,51.719,54.492,51.875,52.695
mobilenetv2_140.ra_in1k,50.43,50.859,51.562,50.95
mobilenetv3_large_100.miil_in21k_ft_in1k,50.781,48.984,49.414,49.726
mobilenetv3_large_100.ra_in1k,47.891,49.57,47.695,48.385
mobilenetv3_rw.rmsp_in1k,49.492,49.688,50.117,49.766
mobilenetv3_small_100.lamb_in1k,51.68,52.383,49.961,51.341
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,52.383,52.734,52.812,52.643
mobilenetv4_conv_small_050.e3000_r224_in1k,49.297,49.766,52.93,50.664
mobileone_s2.apple_in1k,50.508,51.68,51.641,51.276
mobileone_s4.apple_in1k,52.305,49.727,50.195,50.742
mobilevit_xs.cvnets_in1k,51.211,51.836,50.586,51.211
mobilevit_xxs.cvnets_in1k,48.164,55.312,52.109,51.862
mobilevitv2_050.cvnets_in1k,49.883,49.727,50.977,50.196
mobilevitv2_200.cvnets_in1k,50.703,49.961,51.523,50.729
mvitv2_base.fb_in1k,51.094,52.188,51.836,51.706
mvitv2_large.fb_in1k,50.273,50.0,51.055,50.443
mvitv2_small.fb_in1k,51.875,52.539,55.625,53.346
mvitv2_tiny.fb_in1k,52.383,52.109,51.914,52.135
pit_b_224.in1k,52.188,50.664,51.914,51.589
pit_b_distilled_224.in1k,54.062,52.695,52.578,53.112
pit_s_224.in1k,51.406,50.898,52.695,51.666
pit_s_distilled_224.in1k,48.984,50.508,48.086,49.193
pit_ti_224.in1k,50.898,50.313,51.445,50.885
pit_ti_distilled_224.in1k,49.688,49.844,50.625,50.052
pit_xs_224.in1k,51.797,52.773,50.82,51.797
pit_xs_distilled_224.in1k,48.477,50.938,50.664,50.026
poolformer_m36.sail_in1k,51.133,49.805,50.703,50.547
poolformer_m48.sail_in1k,52.305,51.094,51.719,51.706
poolformer_s12.sail_in1k,52.891,52.539,52.07,52.5
poolformer_s24.sail_in1k,52.5,56.445,53.516,54.154
poolformer_s36.sail_in1k,53.047,50.938,53.789,52.591
poolformerv2_m36.sail_in1k,51.875,50.82,49.883,50.859
poolformerv2_s12.sail_in1k,53.672,56.406,54.336,54.805
poolformerv2_s24.sail_in1k,52.266,52.695,52.969,52.643
poolformerv2_s36.sail_in1k,50.273,53.555,52.773,52.2
pvt_v2_b0.in1k,53.242,49.961,54.297,52.5
pvt_v2_b1.in1k,53.281,53.906,53.008,53.398
pvt_v2_b2.in1k,53.281,56.172,52.93,54.128
pvt_v2_b2_li.in1k,50.898,49.102,53.008,51.003
pvt_v2_b3.in1k,53.867,53.008,55.781,54.219
pvt_v2_b4.in1k,52.539,52.617,53.594,52.917
pvt_v2_b5.in1k,53.477,52.773,53.203,53.151
regnetx_002.pycls_in1k,47.461,49.961,51.406,49.609
regnetx_004.pycls_in1k,50.039,48.477,50.43,49.649
regnetx_004_tv.tv2_in1k,54.844,50.0,51.797,52.214
regnetx_008.pycls_in1k,53.477,53.086,53.516,53.36
regnetx_008.tv2_in1k,51.328,51.719,53.789,52.279
regnetx_016.pycls_in1k,50.977,51.875,52.07,51.641
regnetx_016.tv2_in1k,55.195,54.492,53.828,54.505
regnetx_032.pycls_in1k,51.719,52.695,50.664,51.693
regnety_002.pycls_in1k,50.508,51.289,52.852,51.55
regnety_004.pycls_in1k,54.297,50.508,52.734,52.513
regnety_004.tv2_in1k,51.367,53.086,51.953,52.135
regnety_006.pycls_in1k,53.867,50.234,52.812,52.304
regnety_008.pycls_in1k,51.992,51.445,51.875,51.771
regnety_008_tv.tv2_in1k,52.891,51.992,52.188,52.357
