task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18,VPT1 v18,convnextv2_large.fcmae_ft_in22k_in1k_384,convnextv2,57.982,61.028,3.0459999999999994,1.875,2.4609999999999985,0.7663368855942028,1.026800965242155,88.18,98.52,197.96,384
vpt1_v18,VPT1 v18,convnextv2_nano.fcmae_ft_in22k_in1k,convnextv2,55.078,57.5,2.421999999999997,1.4849999999999994,1.8359999999999985,0.6661212769125111,0.7740617259337625,82.038,96.174,15.62,224
vpt1_v18,VPT1 v18,convnextv2_tiny.fcmae_ft_in22k_in1k,convnextv2,55.43,59.714,4.283999999999999,1.0159999999999982,2.0319999999999965,0.4467402924394534,0.9231165810569218,83.904,96.964,28.64,224
vpt1_v18,VPT1 v18,crossvit_15_240.in1k,crossvit,53.789,57.813,4.024000000000001,2.929000000000002,4.844000000000001,1.203682959365409,2.039132549775898,81.522,95.694,27.53,240
vpt1_v18,VPT1 v18,crossvit_18_240.in1k,crossvit,52.565,59.505,6.940000000000005,0.7419999999999973,0.5859999999999985,0.3409617117637812,0.24779740829063426,82.39,96.064,43.27,240
vpt1_v18,VPT1 v18,crossvit_9_240.in1k,crossvit,54.245,56.706,2.4610000000000056,1.9140000000000015,0.8989999999999938,0.8318082043890231,0.3806897249291929,73.994,91.976,8.55,240
vpt1_v18,VPT1 v18,crossvit_tiny_240.in1k,crossvit,53.125,57.5,4.375,1.8359999999999985,1.5620000000000047,0.7621637327737095,0.6588009309849748,73.352,91.906,7.01,240
vpt1_v18,VPT1 v18,davit_base.msft_in1k,davit,53.359,59.206,5.847000000000001,4.023000000000003,1.7960000000000065,1.8036715024884367,0.7713301642112972,84.652,97.02,87.95,224
vpt1_v18,VPT1 v18,davit_small.msft_in1k,davit,54.713,58.425,3.711999999999996,1.6799999999999997,2.5390000000000015,0.7177744925965414,1.0579793108668163,84.252,96.942,49.75,224
vpt1_v18,VPT1 v18,davit_tiny.msft_in1k,davit,55.443,56.536,1.0930000000000035,0.39099999999999824,0.8980000000000032,0.16375252330540987,0.40618660189075206,82.694,96.264,28.36,224
vpt1_v18,VPT1 v18,deit3_base_patch16_224.fb_in1k,deit3,56.081,58.789,2.7079999999999984,1.6799999999999997,2.9299999999999997,0.7078042730083577,1.265904683089001,83.8,96.584,86.59,224
vpt1_v18,VPT1 v18,deit3_base_patch16_224.fb_in22k_ft_in1k,deit3,56.862,60.351,3.488999999999997,1.2890000000000015,3.1639999999999944,0.5744123567225522,1.2943593868096357,85.728,97.746,86.59,224
vpt1_v18,VPT1 v18,deit3_huge_patch14_224.fb_in1k,deit3,53.945,57.982,4.036999999999999,1.8360000000000056,4.219000000000001,0.8086900243947365,1.7876869599196241,85.204,97.364,632.13,224
vpt1_v18,VPT1 v18,deit3_large_patch16_224.fb_in1k,deit3,57.213,59.792,2.5790000000000006,0.8590000000000018,1.1710000000000065,0.35836139425011904,0.5002414972346437,84.772,97.048,304.37,224
vpt1_v18,VPT1 v18,deit3_medium_patch16_224.fb_in1k,deit3,53.802,58.62,4.817999999999998,3.7109999999999985,2.8909999999999982,1.5150372932703664,1.236406351757651,83.09,96.284,38.85,224
vpt1_v18,VPT1 v18,deit3_medium_patch16_224.fb_in22k_ft_in1k,deit3,55.859,57.617,1.7579999999999956,2.225999999999999,3.75,0.9125401665436733,1.6095403760770413,84.55,97.18,38.85,224
vpt1_v18,VPT1 v18,deit3_small_patch16_224.fb_in1k,deit3,55.885,58.49,2.605000000000004,1.6020000000000039,2.696000000000005,0.6556433651172139,1.1208045721216942,81.382,95.454,22.06,224
vpt1_v18,VPT1 v18,deit3_small_patch16_224.fb_in22k_ft_in1k,deit3,55.599,58.138,2.5390000000000015,1.5230000000000032,2.8120000000000047,0.6630366170548628,1.157377495317181,83.082,96.774,22.06,224
vpt1_v18,VPT1 v18,deit_base_distilled_patch16_224.fb_in1k,deit,54.726,56.511,1.7850000000000037,0.5859999999999985,1.524000000000001,0.27624304918354387,0.6335873174937209,83.384,96.492,87.34,224
vpt1_v18,VPT1 v18,deit_base_patch16_224.fb_in1k,deit,54.31,58.359,4.0489999999999995,0.3510000000000062,6.484999999999999,0.15048587973627536,2.6474901741502688,81.98,95.74,86.57,224
vpt1_v18,VPT1 v18,deit_base_patch16_384.fb_in1k,deit,55.794,57.474,1.6799999999999997,1.600999999999999,3.7890000000000015,0.6721370561293442,1.5729675422235803,83.108,96.376,86.86,384
vpt1_v18,VPT1 v18,deit_small_distilled_patch16_224.fb_in1k,deit,53.425,57.24,3.815000000000005,2.421999999999997,1.7579999999999956,1.0058102317148199,0.7191858050755866,81.204,95.378,22.44,224
vpt1_v18,VPT1 v18,deit_small_patch16_224.fb_in1k,deit,53.45,55.261,1.811,2.4610000000000056,2.6169999999999973,1.0551001005697167,1.1330702635857235,79.856,95.056,22.05,224
vpt1_v18,VPT1 v18,deit_tiny_distilled_patch16_224.fb_in1k,deit,54.102,56.38,2.278000000000006,1.6799999999999997,3.4379999999999953,0.6908571165990514,1.522233957781201,74.538,91.898,5.91,224
vpt1_v18,VPT1 v18,deit_tiny_patch16_224.fb_in1k,deit,52.851,56.614,3.762999999999998,2.969000000000001,0.8980000000000032,1.2233626699479694,0.3722520054419537,72.19,91.1,5.72,224
vpt1_v18,VPT1 v18,densenet121.ra_in1k,densenet121.ra,54.271,57.643,3.372,4.024000000000001,1.0549999999999997,1.6741357969611268,0.43548210831980994,75.574,92.648,7.98,224
vpt1_v18,VPT1 v18,densenet121.tv_in1k,densenet121.tv,54.336,59.18,4.844000000000001,0.8990000000000009,3.672000000000004,0.37622422392327015,1.5481234518675266,74.75,92.158,7.98,224
vpt1_v18,VPT1 v18,densenet161.tv_in1k,densenet161.tv,52.07,60.625,8.555,0.7809999999999988,2.031000000000006,0.3188420019731119,0.9395775646533947,77.384,93.656,28.68,224
vpt1_v18,VPT1 v18,densenet169.tv_in1k,densenet169.tv,53.62,60.13,6.510000000000005,1.171999999999997,1.9140000000000015,0.4872172684405444,0.8258377564630967,75.922,92.976,14.15,224
vpt1_v18,VPT1 v18,densenet201.tv_in1k,densenet201.tv,54.154,59.024,4.869999999999997,1.1720000000000041,1.25,0.48408539191620775,0.5133331168830714,77.284,93.48,20.01,224
vpt1_v18,VPT1 v18,densenetblur121d.ra_in1k,densenetblur121d.ra,53.633,55.899,2.2659999999999982,0.8989999999999938,0.7029999999999959,0.3680498154688639,0.3075519829593386,76.574,93.188,8.0,224
vpt1_v18,VPT1 v18,dla102.in1k,dla102.in1k,52.891,56.758,3.8670000000000044,1.2890000000000015,2.421999999999997,0.5269541409521965,1.0025261426350258,78.016,93.952,33.27,224
vpt1_v18,VPT1 v18,dla169.in1k,dla169.in1k,53.893,59.896,6.003,1.6400000000000006,1.1329999999999956,0.6758081581829765,0.47346875996908716,78.702,94.334,53.39,224
vpt1_v18,VPT1 v18,dla34.in1k,dla34.in1k,53.815,55.495,1.6799999999999997,0.23400000000000176,2.3049999999999997,0.10236210236215411,0.9410572069043766,74.632,92.052,15.74,224
vpt1_v18,VPT1 v18,dla46_c.in1k,dla46,54.466,54.974,0.5079999999999956,1.2890000000000015,1.6799999999999997,0.52823542731122,0.736099178100342,64.88,86.33,1.3,224
vpt1_v18,VPT1 v18,dla46x_c.in1k,dla46x,53.138,54.531,1.3930000000000007,1.8359999999999985,3.5549999999999997,0.759047356156971,1.4641667330677277,66.008,86.946,1.07,224
vpt1_v18,VPT1 v18,dla60.in1k,dla60.in1k,54.271,57.109,2.838000000000001,0.8990000000000009,1.5630000000000024,0.3698819631540132,0.6592553037750679,77.036,93.316,22.04,224
vpt1_v18,VPT1 v18,dla60x_c.in1k,dla60x,54.375,53.776,-0.5989999999999966,4.024000000000001,4.609000000000002,1.7245418715318765,1.8992347581767421,67.928,88.426,1.32,224
vpt1_v18,VPT1 v18,dpn107.mx_in1k,dpn107.mx,55.964,62.813,6.849000000000004,1.1720000000000041,2.3049999999999926,0.5350497380825671,1.0281084032770496,80.166,94.932,86.92,224
vpt1_v18,VPT1 v18,dpn131.mx_in1k,dpn131.mx,55.143,62.266,7.1229999999999976,1.2109999999999985,2.578000000000003,0.49652056016510127,1.058278266283916,79.836,94.708,79.25,224
vpt1_v18,VPT1 v18,dpn68.mx_in1k,dpn68.mx,54.049,60.768,6.719000000000001,1.6799999999999997,0.9370000000000047,0.685915608673707,0.4036717588448449,76.304,92.994,12.61,224
vpt1_v18,VPT1 v18,dpn68b.mx_in1k,dpn68b.mx,51.55,60.013,8.463000000000001,0.625,1.1330000000000027,0.257824660487618,0.46699964311192765,77.494,93.834,12.61,224
vpt1_v18,VPT1 v18,dpn92.mx_in1k,dpn92.mx,55.195,61.146,5.9510000000000005,4.219000000000001,2.695999999999998,1.9115027828619258,1.2114993465399244,80.032,94.876,37.67,224
vpt1_v18,VPT1 v18,dpn98.mx_in1k,dpn98.mx,54.701,61.172,6.4709999999999965,0.8590000000000018,1.3670000000000044,0.3960642484356412,0.5748570836883453,79.664,94.644,61.57,224
vpt1_v18,VPT1 v18,eca_nfnet_l0.ra2_in1k,eca,54.492,56.185,1.693000000000005,1.328000000000003,2.2650000000000006,0.553261842771276,1.017073252032517,81.762,95.994,24.14,224
vpt1_v18,VPT1 v18,eca_nfnet_l1.ra2_in1k,eca,53.672,57.461,3.7890000000000015,1.4059999999999988,2.6169999999999973,0.6151039659186793,1.1458406908854677,83.264,96.684,41.41,256
vpt1_v18,VPT1 v18,ecaresnet50t.a2_in1k,ecaresnet50t.a2,53.307,53.555,0.24799999999999756,0.625,0.9369999999999976,0.25775742256798134,0.38645080181340236,80.884,95.022,25.57,224
vpt1_v18,VPT1 v18,edgenext_xx_small.in1k,edgenext,52.344,54.739,2.394999999999996,0.39099999999999824,4.648999999999994,0.16896219169453797,1.9643744268567735,71.132,90.042,1.33,256
vpt1_v18,VPT1 v18,efficientformer_l1.snap_dist_in1k,efficientformer,52.526,54.766,2.239999999999995,2.5390000000000015,2.8129999999999953,1.1968960782884301,1.1811046618408623,80.502,94.992,12.29,224
vpt1_v18,VPT1 v18,efficientformer_l3.snap_dist_in1k,efficientformer,55.937,54.961,-0.9759999999999991,1.3289999999999935,1.5620000000000047,0.5425620292238968,0.6588009309849748,82.562,96.25,31.41,224
vpt1_v18,VPT1 v18,efficientformer_l7.snap_dist_in1k,efficientformer,55.195,56.536,1.341000000000001,1.875,1.6020000000000039,0.7734064620596051,0.7134934399760731,83.396,96.532,82.23,224
vpt1_v18,VPT1 v18,efficientformerv2_l.snap_dist_in1k,efficientformerv2,52.995,54.414,1.419000000000004,1.875,1.1330000000000027,0.7709934428313182,0.4633666654677132,83.642,96.546,26.32,224
vpt1_v18,VPT1 v18,efficientformerv2_s0.snap_dist_in1k,efficientformerv2,55.651,54.388,-1.2630000000000052,1.8350000000000009,2.0700000000000003,0.7518940528203869,0.8920526890268308,76.102,92.85,3.6,224
vpt1_v18,VPT1 v18,efficientformerv2_s1.snap_dist_in1k,efficientformerv2,51.706,54.284,2.577999999999996,2.6950000000000003,3.3200000000000003,1.2353084185291097,1.4284917453967545,79.684,94.712,6.19,224
vpt1_v18,VPT1 v18,efficientformerv2_s2.snap_dist_in1k,efficientformerv2,51.211,55.026,3.815000000000005,1.6799999999999997,0.8590000000000018,0.7742299400049065,0.3960642484356412,82.156,95.912,12.71,224
vpt1_v18,VPT1 v18,efficientnet_b0.ra_in1k,efficientnet,54.87,54.557,-0.3129999999999953,1.25,3.2420000000000044,0.5310825422348839,1.3815066654441701,77.698,93.538,5.29,224
vpt1_v18,VPT1 v18,efficientnet_b1.ft_in1k,efficientnet,55.208,53.06,-2.147999999999996,0.8589999999999947,1.6400000000000006,0.38037028742470674,0.7174660657867765,77.592,93.636,7.79,224
vpt1_v18,VPT1 v18,efficientnet_b1.ra4_e3600_r240_in1k,efficientnet,53.972,53.594,-0.3780000000000001,0.703000000000003,2.344000000000001,0.3225981332177176,1.0541553754336008,80.404,95.152,7.79,240
vpt1_v18,VPT1 v18,efficientnet_b2.ra_in1k,efficientnet,56.823,51.641,-5.182000000000002,0.8590000000000018,2.3430000000000035,0.3803702874247088,0.9581281519481402,79.324,94.582,9.11,256
vpt1_v18,VPT1 v18,efficientnet_b3.ra2_in1k,efficientnet,55.898,54.089,-1.8090000000000046,1.718999999999994,0.8589999999999947,0.7039613310087083,0.35263232346957923,81.472,95.696,12.23,288
vpt1_v18,VPT1 v18,efficientnet_b4.ra2_in1k,efficientnet,54.909,51.836,-3.0730000000000004,0.5859999999999985,1.0159999999999982,0.26752486904128336,0.41478026311128413,82.658,96.134,19.34,320
vpt1_v18,VPT1 v18,efficientnet_es.ra_in1k,efficientnet,54.687,53.151,-1.5359999999999943,0.8200000000000003,2.5389999999999944,0.3865517070486461,1.1233415429967044,78.1,93.928,5.44,224
vpt1_v18,VPT1 v18,efficientnet_es_pruned.in1k,efficientnet,54.388,53.581,-0.806999999999995,2.578000000000003,1.524000000000001,1.055030173344189,0.6335873174937209,75.01,92.438,5.44,224
vpt1_v18,VPT1 v18,efficientnet_lite0.ra_in1k,efficientnet,53.698,54.688,0.990000000000002,2.071000000000005,1.9140000000000015,0.8479272767558962,0.8199289942156923,75.488,92.508,4.65,224
vpt1_v18,VPT1 v18,efficientvit_b2.r256_in1k,efficientvit,54.037,56.979,2.942,0.7809999999999988,1.0159999999999982,0.34392279495388034,0.42124893669499774,82.712,96.092,24.33,256
vpt1_v18,VPT1 v18,efficientvit_b2.r288_in1k,efficientvit,53.398,56.471,3.0729999999999933,0.8200000000000003,0.7029999999999959,0.33591698709982254,0.28760196259568177,83.078,96.286,24.33,288
vpt1_v18,VPT1 v18,efficientvit_b3.r256_in1k,efficientvit,54.258,55.859,1.600999999999999,0.5079999999999956,0.9759999999999991,0.20918466058060153,0.40699658748228107,83.782,96.498,48.65,256
vpt1_v18,VPT1 v18,efficientvit_m1.r224_in1k,efficientvit,53.594,53.372,-0.2220000000000013,1.6409999999999982,3.0860000000000056,0.7245643902066637,1.2806847994551829,68.34,88.692,2.98,224
vpt1_v18,VPT1 v18,eva02_base_patch14_448.mim_in22k_ft_in1k,eva02,57.175,60.26,3.085000000000001,1.6010000000000062,3.8290000000000006,0.7287085989764531,1.8050079101088605,88.262,98.57,87.12,448
